size_sqft,price_lakhs
3106,365.89
837,68.02
6286,693.2
2141,149.87
9016,935.49
7271,809.42
5925,642.89
3250,231.64
8292,797.28
5080,495.9
2668,317.3
6955,628.92
8473,796.35
4795,399.24
9463,905.01
6302,567.62
6914,771.3
9658,933.43
6219,656.45
1153,116.2
4446,444.8
4069,377.33
874,125.9
1448,152.52
6593,664.14
6757,646.03
7809,759.41
5077,537.15
4154,426.9
2791,285.27
3424,304.7
5991,696.31
3351,311.11
304,28.89
5522,542.85
5615,659.24
5169,502.36
1176,98.48
9483,954.22
7327,698.02
4442,449.78
7266,845.18
7379,752.88
8287,841.86
7099,674.0
4765,561.96
935,190.45
1993,241.93
5052,537.89
8611,849.36
1130,132.57
5477,505.94
9861,929.79
9232,848.83
8608,881.33
6249,555.98
3138,288.82
1450,141.94
7860,835.76
2231,194.19
9504,1006.06
1964,243.36
1381,84.53
812,137.34
8105,796.32
5537,528.75
859,71.93
3972,397.02
7704,749.65
3643,322.32
4370,399.44
9962,1003.15
880,79.98
7304,756.77
8430,845.62
3447,348.55
4549,484.54
1979,268.85
3806,453.55
7553,822.32
3044,347.92
9735,1077.77
5488,570.69
2441,260.38
6917,803.9
2779,141.6
6784,667.71
7721,834.72
4752,524.21
6181,746.38
6965,701.87
3149,293.36
7690,752.4
7205,736.4
2789,359.98
9507,1032.41
9840,981.2
4911,503.75
3139,283.32
8827,857.34
6178,670.11
9387,1018.81
6603,625.44
1151,127.25
1987,186.55
7133,756.49
2727,253.27
4300,333.68
5352,585.38
3038,288.63
6032,593.23
5687,590.48
8302,847.84
5836,606.41
4213,339.81
1366,164.42
8023,706.85
4680,506.48
4407,496.62
6026,534.17
3673,383.72
9245,977.36
2382,215.75
9267,960.38
7048,565.53
717,126.61
8606,862.1
9108,897.91
4274,476.6
3567,443.16
1125,136.79
7968,877.24
6045,526.84
712,104.5
7843,777.7
7887,749.29
1028,10.0
7464,776.99
9167,960.46
6288,695.9
2804,339.22
3267,288.11
3086,373.14
1422,212.02
4379,424.9
1871,188.52
5373,490.59
5404,614.44
2443,168.71
7106,737.35
7657,735.86
3740,318.61
4066,312.86
5944,583.63
3214,258.17
5268,529.62
6217,710.17
9087,918.68
1028,202.66
1665,117.39
4792,415.15
998,48.45
7486,745.34
695,205.65
7700,686.89
8382,869.18
4471,412.1
4660,454.81
2802,217.3
1017,145.66
3082,306.0
5246,578.97
5786,587.36
8635,766.92
5280,582.83
7566,655.95
4791,385.6
7492,703.34
5888,543.61
7951,864.9
3936,385.04
1467,209.07
1362,107.8
2456,261.48
8160,839.7
5461,580.9
5605,537.25
6841,665.21
5029,487.99
9648,882.18
7630,758.8
5634,544.22
9224,951.4
4630,467.57
8310,897.82
7101,713.6
5146,486.49
7031,705.98
7541,790.31
1253,36.64
2839,248.14
7356,700.89
1842,204.75
5593,585.66
1491,154.16
6613,537.37
7238,641.2
2981,286.15
9709,945.83
1840,184.27
6472,623.73
5841,660.68
9880,873.3
1665,181.63
8991,940.5
9002,935.28
7794,818.76
4612,507.76
1624,132.2
9647,909.63
3441,242.37
7719,753.77
3786,339.72
2110,269.08
6888,674.42
3223,270.78
5601,500.67
4486,548.04
9205,919.4
6277,588.62
4568,463.0
5048,599.64
5149,495.42
9735,1007.85
4009,460.22
9573,862.73
6919,659.98
8947,947.75
9386,903.63
9876,1008.33
3372,299.28
6830,660.72
804,52.03
1514,183.23
1831,193.18
7876,792.54
1123,237.67
1228,209.78
5329,433.84
433,21.13
2405,361.82
3927,363.97
6616,765.99
2152,193.88
5210,509.3
4475,490.68
5648,560.29
9742,998.93
6490,727.75
1556,193.54
3676,374.68
5945,678.18
3786,422.43
3884,351.72
9888,1087.8
8353,867.42
3630,352.32
3003,199.26
8962,827.32
8420,927.01
7414,828.38
1653,169.56
5363,447.79
8849,830.55
7875,706.31
967,13.69
4768,578.14
9637,1066.7
7119,655.86
4019,401.46
3045,240.26
7783,777.54
839,165.87
5264,580.34
5135,553.93
4075,397.79
6342,697.3
7402,772.53
7612,781.4
5620,556.23
6432,659.12
8191,833.51
3079,280.83
1224,83.65
1881,138.25
8014,754.76
3624,352.99
6013,583.67
7326,701.56
555,20.76
5104,524.99
2138,282.68
309,30.35
3171,313.28
9289,882.16
7709,759.75
7718,831.32
5424,594.27
1315,179.9
2493,296.09
8715,893.34
7749,794.96
4458,458.04
4225,401.66
7270,731.18
7238,734.58
5084,540.06
4300,435.01
1933,298.56
7566,696.11
9002,937.92
684,66.34
704,70.51
8475,806.87
2300,280.97
6289,661.54
1760,217.68
7490,757.46
7440,727.76
3936,390.27
5109,532.57
4478,347.52
7545,798.15
6900,811.31
6297,653.72
2348,220.75
5080,499.94
1016,136.98
8239,810.99
5865,629.93
4844,475.69
5276,613.31
3719,456.23
7539,737.39
549,50.85
9165,915.38
1070,106.55
4663,418.93
1377,83.34
8727,935.19
8880,942.49
8201,873.73
5158,512.33
6844,779.0
5019,500.78
3114,354.54
3674,297.97
1552,143.71
7296,721.81
4973,494.03
4830,416.73
7181,753.29
7249,776.33
9821,944.91
6541,596.73
8317,793.25
7241,748.87
9850,955.17
7302,723.5
1631,109.43
4561,555.06
7948,798.46
9850,1042.49
5415,566.16
4937,491.61
5154,510.72
3477,311.44
8030,780.48
2480,197.61
5192,463.36
7343,838.62
437,57.65
6627,735.99
3772,337.5
5749,512.32
3132,264.31
3879,366.8
6271,628.92
4464,438.85
8241,785.44
5869,591.29
4600,468.77
6569,692.01
4118,485.32
2206,202.41
6554,716.17
1060,109.3
8130,736.63
7650,854.16
6538,767.43
6390,669.95
6331,637.59
7987,785.13
9391,915.9
8772,937.74
2187,217.84
3566,440.3
966,98.34
4488,428.18
971,67.03
7077,670.51
7870,812.71
8256,760.88
5424,501.48
5885,654.72
5077,459.97
4200,463.14
6977,594.55
7281,800.6
6676,604.09
823,38.48
2693,303.32
2893,302.82
7540,798.75
7237,659.79
6490,634.66
5540,523.15
6793,623.79
3178,347.59
4443,491.45
3944,377.56
4732,549.34
1576,118.31
6111,686.02
602,88.31
938,32.62
355,134.58
9017,879.48
8450,905.26
2425,249.78
664,85.12
7109,755.96
4921,534.39
5426,525.49
5422,568.78
1946,217.43
1218,132.48
3097,299.53
6806,691.18
6170,715.38
1831,168.35
8472,907.53
3645,333.52
7973,753.23
7249,888.72
7182,745.2
2206,248.98
3386,368.36
8452,915.56
6050,625.39
9205,961.31
1362,83.27
2276,276.8
1596,147.76
6529,686.49
7941,708.34
425,74.01
4932,381.11
6588,645.0
3896,304.32
6468,678.45
7861,789.56
8558,817.26
532,124.92
9661,921.27
6671,515.54
4506,476.28
9985,910.17
8243,781.05
7191,693.23
7038,632.6
2772,252.51
3039,233.64
5701,578.22
2061,144.66
1176,119.11
4112,469.3
9804,1019.52
1760,171.91
2033,153.86
1905,198.46
5922,557.41
7067,716.76
7286,642.84
3817,422.06
4035,405.16
9652,1075.63
8734,938.7
2890,317.31
1363,130.1
4624,425.92
9411,988.22
5642,552.73
305,88.92
7789,798.94
8959,916.3
8495,879.23
6266,580.62
9137,862.59
417,10.0
2851,337.47
5860,538.71
4589,417.84
1146,141.48
6616,649.0
6769,657.91
9633,939.97
9215,805.22
524,10.0
4508,509.88
6583,631.33
2348,139.78
6533,602.9
2128,230.79
2217,238.7
4534,438.69
7288,694.34
2326,162.49
4044,422.81
9393,981.19
309,95.34
560,10.0
6338,702.08
2519,249.07
7341,735.43
2360,280.68
5587,531.65
1919,83.71
8812,916.44
1642,181.63
3132,295.19
3124,343.53
2294,270.75
3790,303.4
9610,962.13
8284,714.52
1904,184.22
535,34.86
2208,245.4
8867,833.05
3830,361.93
5556,394.8
2935,321.38
8462,841.78
2860,290.36
5715,496.83
3691,389.0
6251,707.74
5768,567.55
8307,863.2
9364,892.87
9744,970.56
6713,594.73
7241,763.51
9806,988.59
5120,451.04
3198,279.71
7846,787.65
377,83.89
7877,861.68
4527,445.99
900,21.77
1365,148.42
2436,332.84
9810,899.86
7243,676.57
8104,840.95
6865,694.18
6284,601.15
5442,555.21
4970,545.88
2490,244.08
9484,939.1
3012,330.65
2492,235.67
1548,211.93
4333,534.64
2297,185.05
3987,336.2
4318,450.39
2270,162.72
8689,803.77
6065,504.04
1502,131.09
8435,841.85
5867,560.83
7967,866.22
6042,669.99
6088,705.24
5708,573.13
8969,956.09
9746,990.04
1222,132.62
719,48.53
2504,137.24
1420,173.86
1250,182.71
2636,187.32
5673,566.82
2543,303.88
2945,276.53
4912,550.86
2165,209.49
6328,606.54
7626,825.11
6671,620.41
6659,629.65
8163,771.52
3528,295.67
4019,409.55
2671,241.45
3191,343.53
4056,318.87
4525,396.37
394,41.98
2974,370.88
7198,738.73
1093,79.83
2416,167.12
6079,575.51
6466,644.48
1114,10.0
645,10.0
8854,848.52
2743,261.43
8083,805.58
1284,97.86
8090,834.29
1127,118.94
3831,364.6
7447,776.89
4751,503.2
4176,344.91
6259,624.3
426,87.11
3477,400.57
9095,928.05
6324,620.74
5409,561.97
4446,484.99
7496,755.39
3668,378.23
4097,397.21
2092,142.36
6032,594.48
3776,343.74
3717,338.0
1945,266.19
9697,1017.28
3330,248.33
3172,262.96
3372,319.02
2154,183.37
4321,447.97
4962,434.02
6814,729.33
5331,530.9
3008,283.77
7412,740.48
9824,961.52
8693,767.77
3807,381.3
6756,659.56
4512,403.48
8270,881.87
9066,940.07
836,205.54
1925,234.24
8273,795.13
8877,842.41
8370,812.28
8966,863.27
8909,896.34
6790,602.06
3900,422.36
7083,712.86
9446,971.22
5271,469.89
1505,162.83
2290,293.96
5599,516.87
3872,342.81
6275,663.1
6620,613.55
4680,456.34
5057,579.49
3013,257.62
5888,666.02
1266,109.81
5244,468.34
3732,403.39
988,104.19
4543,454.96
4001,361.66
8833,888.32
5482,444.82
7004,711.34
4722,537.06
2059,117.63
9481,927.76
2782,234.47
8358,760.25
1251,22.46
9214,862.36
2379,225.78
3017,359.16
4824,406.26
9992,1013.92
8777,888.68
7611,844.7
7486,777.15
2365,267.93
1068,141.77
5790,532.79
6945,665.86
5383,594.14
5532,450.66
6097,575.58
9438,877.26
5226,534.31
6316,610.52
3635,394.8
8338,828.35
5173,440.0
1781,103.11
6605,660.2
3751,336.54
354,10.0
7943,841.22
3762,414.15
1132,203.09
6254,609.58
8819,849.84
7521,773.01
3610,332.96
3600,333.6
7022,692.09
7518,834.44
8076,842.8
3975,437.94
3354,415.79
8270,872.13
2443,187.73
5507,595.07
9803,1031.01
2838,316.39
4847,474.93
5919,619.22
8656,864.59
6912,642.3
5305,494.02
1122,147.39
1243,79.01
6450,604.42
4725,510.17
9266,933.29
2498,278.66
4542,392.75
3995,426.97
3752,342.2
9406,889.76
1608,135.53
4477,515.8
9005,882.28
7152,825.27
6335,530.39
3894,312.09
5141,580.31
1709,249.68
4866,443.43
4791,482.54
1855,221.11
1104,98.93
1579,165.39
7383,738.85
6286,554.53
5919,574.67
1687,169.32
2979,303.06
2406,154.07
8473,884.98
4523,458.77
5131,460.33
3068,396.75
3486,331.27
2873,273.22
2899,321.99
4333,527.5
8728,906.85
1604,201.71
7668,716.72
6177,622.05
1601,133.49
2841,319.31
2351,274.95
7109,792.56
8933,785.38
9296,898.07
374,102.41
7281,658.02
5775,617.78
8532,909.9
7484,746.98
6096,538.53
7441,738.02
1922,265.13
8341,911.05
641,74.49
2374,188.54
8292,916.12
945,135.55
4563,410.72
9101,927.23
6436,658.44
8946,862.76
3269,344.31
3328,388.11
7943,779.49
2981,358.51
3929,305.13
4525,563.41
3367,339.57
6241,677.75
1686,179.53
3166,275.42
5088,506.98
5790,483.53
4424,476.82
8640,873.69
4150,405.42
5715,609.13
7979,799.78
7119,742.24
9628,1010.92
8678,840.34
9742,932.43
1633,77.17
4450,451.13
7066,729.2
3011,234.92
5153,586.32
6512,610.08
7779,672.72
5708,645.54
8015,702.85
9242,972.41
2062,242.26
7401,756.08
7974,771.26
6422,667.34
781,130.52
453,10.0
7917,840.52
1824,228.94
2420,256.65
2643,237.4
5436,590.37
6060,631.42
1540,103.2
360,17.63
9430,983.95
1939,199.63
6485,702.8
8270,809.92
1552,105.21
4503,559.98
8663,782.26
9950,970.01
3849,398.89
4497,499.0
7309,763.22
6967,812.26
2622,256.32
4390,395.35
7260,715.02
3304,314.4
5436,540.19
629,13.78
3940,433.2
8282,846.74
4407,377.51
1641,212.5
8707,830.13
638,10.0
6195,623.87
3008,212.91
2050,234.48
5904,448.46
2721,220.63
7419,820.66
9201,885.77
5619,536.32
6909,754.58
5687,529.06
4293,467.47
8980,956.71
8344,858.33
8538,781.56
5173,487.1
5106,646.28
8892,864.67
6213,770.62
7424,827.85
3457,371.65
690,83.86
4730,449.76
9120,907.55
7986,764.16
4532,450.02
8307,762.59
1821,111.31
9318,996.85
1800,99.38
7037,748.01
3594,264.68
5385,569.98
2719,261.52
9426,1008.67
3342,317.6
4797,379.22
1766,167.2
3861,394.08
914,84.8
5692,597.96
7993,771.08
9674,904.23
3523,302.32
7438,718.01
2967,270.48
8280,948.31
430,105.76
3283,362.64
4578,480.1
7426,757.59
8530,868.25
7994,807.56
6940,696.01
5768,472.21
1220,103.54
7864,774.38
8984,860.95
9623,934.5
8802,895.24
9230,961.38
3541,369.06
845,121.62
4646,502.61
4110,396.01
7506,776.87
9305,843.18
2332,213.98
8736,848.51
571,133.67
3811,397.95
2071,140.38
9754,1005.13
4661,511.59
7369,732.42
1220,156.51
8490,724.21
3730,238.03
4735,414.57
4060,413.45
2350,311.61
1465,90.18
8867,844.02
2333,237.73
6767,652.08
445,17.04
4688,447.73
8132,878.94
8923,948.11
9196,920.77
8473,930.02
2932,318.65
4794,537.09
8356,792.57
7811,748.42
9455,912.28
2128,208.46
9430,946.0
5105,526.71
1106,209.26
9955,1031.56
7786,752.86
8502,850.04
2168,292.05
8178,856.89
5990,673.59
8127,788.57
5729,537.32
9376,902.75
3864,366.3
1689,115.74
7574,772.16
1124,128.02
2565,323.44
1236,35.59
6702,622.99
4145,454.78
2096,218.77
8545,856.74
7514,814.59
1026,52.1
3036,267.16
2213,178.97
7957,695.05
2766,283.24
9341,907.96
7612,724.55
8494,803.73
8206,819.71
5176,477.67
7587,769.78
1192,142.16
4975,482.77
2233,205.18
1680,177.27
1590,157.56
1940,260.51
7790,794.91
9479,1002.68
1518,182.33
5316,465.68
7181,690.19
9847,982.3
9910,1034.42
1254,221.79
9475,923.29
7591,761.86
1274,167.4
4433,440.41
5670,649.2
4272,359.81
5595,593.4
9405,973.91
8528,910.4
3320,335.1
9287,973.28
4336,421.14
5368,496.73
5533,505.94
9816,909.53
617,39.63
2696,285.17
2462,235.79
3045,314.4
1891,250.84
6483,622.43
4230,540.01
1612,198.96
9777,967.85
4611,450.12
7614,710.99
2683,267.01
3539,245.82
2439,306.69
2004,59.57
7224,724.49
662,10.0
2904,255.34
4586,429.99
4038,500.08
2769,221.74
5095,555.21
6450,703.02
856,10.0
9317,900.93
3108,385.02
5450,479.26
7861,846.01
3019,301.01
6806,677.55
4041,407.57
4298,446.93
2703,222.52
9080,894.98
594,77.93
5643,573.14
1436,161.06
2364,200.47
7309,762.51
4843,490.62
1307,51.66
5745,547.93
5652,520.42
9739,928.48
1735,149.68
871,117.77
2682,236.86
9737,984.95
5384,541.46
577,18.75
7359,718.66
2187,261.94
1565,163.99
7791,806.54
1340,197.62
9409,962.65
8373,741.27
9377,951.23
3052,274.29
8513,941.82
4869,506.86
6653,635.43
2653,293.63
7737,778.24
5099,424.0
986,141.75
8776,857.32
5111,582.13
9254,919.18
5646,636.56
5343,555.54
2728,321.51
5426,518.01
8520,869.65
9398,853.49
8113,804.95
9945,920.27
3656,308.45
9007,856.16
7566,789.62
6840,676.63
338,35.37
3642,355.47
9378,991.84
3144,314.6
1398,152.24
7327,704.19
2123,269.77
3455,406.72
3393,337.46
5958,566.59
4078,327.0
3196,276.17
1288,20.45
4416,396.07
6746,692.45
4479,445.38
1982,314.36
5926,574.05
7724,749.94
1233,176.44
3898,293.45
2280,153.91
3356,368.79
9284,918.63
1091,100.48
5690,522.14
6935,705.49
2555,215.1
3910,394.64
1907,132.78
5479,538.78
6873,788.54
1284,107.15
6076,601.01
3976,387.47
3680,376.73
9011,924.51
9082,921.06
1350,148.97
3933,384.26
6642,669.21
1259,115.2
6359,545.28
9184,1049.93
5955,631.91
4773,428.33
3246,336.1
8025,735.19
826,57.89
3524,278.3
2175,214.94
2063,127.23
9012,920.62
6097,643.81
9508,909.45
7399,747.94
5409,496.9
6944,719.99
416,10.0
2733,312.75
5763,485.72
883,38.05
8886,833.16
4088,418.97
4467,474.45
8765,890.53
1689,143.45
8657,725.95
6454,647.34
5720,611.4
9220,1056.03
2343,213.08
4497,416.43
3796,395.61
1078,94.99
513,115.07
4062,365.79
7031,690.66
3417,385.51
6091,624.52
9083,966.36
3020,280.17
9205,983.66
9427,859.51
6347,553.51
8332,897.15
301,30.47
6668,712.84
2249,229.87
7032,702.85
8133,746.9
1217,120.36
3474,415.48
7314,734.23
389,73.0
2009,233.62
3341,283.46
405,83.36
9378,922.11
8919,878.92
2195,324.38
6390,668.87
8808,848.87
6382,641.43
934,95.23
2225,306.8
2356,237.57
7217,832.1
3444,279.56
9931,991.48
852,47.06
9207,895.96
5683,544.64
4211,385.53
3689,455.41
9599,1031.03
8742,894.33
2730,249.28
758,41.64
507,87.79
1199,134.91
321,24.86
8901,917.16
1194,163.95
814,73.7
7594,720.03
5204,454.34
8167,829.23
4409,549.26
7479,692.37
1860,240.97
1566,122.82
3938,370.1
9241,969.85
3727,359.94
5080,520.41
2227,234.15
2656,231.9
5090,553.75
606,57.52
8279,758.47
3965,351.88
7357,579.87
961,98.7
4944,559.6
8803,827.94
3220,351.28
9574,978.93
9246,887.01
6536,730.43
6378,624.17
652,165.71
9394,857.62
7305,717.04
458,38.29
1256,123.57
2371,272.92
8895,1059.41
9879,1010.65
3753,376.51
6975,642.69
1255,30.99
6595,718.01
2012,173.86
5003,630.51
6863,729.71
9765,993.58
5931,612.81
9933,1013.5
1694,134.67
9761,888.52
5032,475.67
4014,400.48
829,50.51
3258,261.5
8204,782.99
3891,440.89
7195,756.91
9431,951.67
825,111.85
6777,621.1
301,10.0
674,82.95
4948,444.57
2665,271.92
1825,119.37
1946,112.12
313,68.1
4899,541.25
2578,226.26
3455,269.48
8621,751.68
4114,503.5
3516,357.17
8519,821.5
2413,223.1
9744,878.73
4656,496.59
5843,684.31
4855,446.36
7362,855.37
3674,361.58
6730,756.34
3766,391.96
3381,353.41
929,185.1
569,96.04
6024,621.14
6197,522.63
3732,297.84
9772,1000.13
6576,730.99
6195,625.92
7415,711.93
6956,603.64
875,48.32
7329,739.45
6399,597.08
9799,931.68
3492,346.64
3478,420.22
6352,669.44
3034,317.69
6416,651.02
3868,414.36
2503,244.79
1690,148.45
2042,241.11
2225,211.23
919,32.47
1574,229.57
1256,32.1
2239,299.82
4253,450.62
1268,78.34
9808,982.01
9535,932.06
581,98.49
6562,695.6
1358,158.87
4593,496.62
5478,542.06
7280,816.08
9500,1011.18
1529,129.05
9527,993.24
4885,524.68
8767,863.71
3040,287.09
2589,319.63
1539,153.17
5670,580.01
425,112.56
7773,903.97
9700,943.67
5642,553.15
7651,768.8
6938,698.64
6870,705.82
3549,330.39
9410,877.69
7895,877.19
6594,690.0
6827,661.77
6057,627.56
2269,318.55
1191,79.7
4770,487.56
7475,678.01
9856,979.68
8620,892.83
9506,894.86
7112,701.84
7819,821.9
4912,520.66
1498,91.92
5538,572.49
6389,666.84
6557,661.1
8005,854.97
4019,372.43
602,80.82
1286,70.34
4740,393.97
5209,559.95
3372,338.23
3424,319.23
9819,928.64
8425,883.86
3591,283.7
4333,482.94
5405,563.05
1003,27.41
8433,849.6
874,220.09
6004,659.87
8148,773.4
5508,586.64
7224,651.6
4128,344.23
3530,349.63
788,106.38
7414,781.97
9839,1025.16
3473,372.04
1967,116.0
4414,438.35
3853,433.73
8061,828.26
1300,139.11
9342,950.66
1688,184.43
5750,476.76
4012,458.94
1667,161.17
8489,884.28
9313,816.02
754,158.45
3072,249.38
4026,529.67
7532,859.16
5106,444.35
2490,289.85
9408,889.94
3175,285.53
5892,558.36
1740,196.4
9227,938.93
6359,575.82
7310,753.0
7417,731.49
9453,854.27
3289,307.2
9518,1034.82
6528,632.79
6771,585.32
3163,357.02
1477,101.32
5060,516.72
311,22.5
5552,643.28
4699,461.34
8534,796.17
9435,920.06
5745,513.06
6870,676.54
9496,1038.09
8512,913.62
706,172.66
9506,974.56
4731,480.26
5543,504.39
6842,697.68
7236,717.08
9206,959.53
4446,388.49
440,46.63
5182,439.53
6312,648.08
1263,160.09
7451,664.02
8864,819.41
3910,326.2
7194,710.52
7611,691.23
405,109.42
5839,605.71
7087,738.65
2437,164.25
4745,539.16
3830,415.48
1586,124.48
7352,658.11
3954,391.59
7402,716.88
2659,244.65
8405,805.23
8936,929.67
6741,544.07
5347,606.2
8527,902.61
5503,560.83
9967,989.5
2098,263.95
9900,987.89
5591,545.18
5795,636.44
6584,763.07
7585,709.95
1600,181.24
7169,662.58
9735,998.58
3397,300.79
4916,552.18
309,25.89
6052,607.52
6595,741.06
5115,474.85
1372,171.44
3525,320.83
1616,221.41
5999,689.24
7107,697.55
6974,587.7
3983,363.89
7527,874.33
3573,327.69
7300,818.55
445,14.19
5310,499.45
3340,372.96
9954,1028.37
782,120.81
3479,348.15
1549,206.62
930,141.08
9153,972.75
3152,284.02
1287,180.38
7922,766.13
7627,754.84
9141,905.22
9460,896.09
1400,53.22
6952,756.39
8932,858.09
7721,758.61
5316,495.06
1069,94.07
1643,139.0
4658,529.75
7080,678.47
6902,775.93
2649,321.86
5999,576.18
1541,170.09
1425,168.47
9682,1010.28
7064,753.42
5401,549.43
8143,766.58
372,69.24
5772,565.37
5489,409.44
2772,296.71
1007,63.99
2104,187.48
7004,700.7
4013,323.62
5351,542.05
2775,261.66
3910,347.14
4555,457.81
7697,685.19
2035,207.28
8558,879.33
8279,843.16
2728,312.24
7726,830.87
8833,879.23
5549,609.67
5591,554.85
3117,276.73
9724,952.76
4174,430.75
9986,1052.86
4511,451.17
961,62.42
3674,439.61
9508,879.06
507,17.34
2965,341.14
2793,367.62
7113,735.33
932,105.69
3383,323.76
4019,429.3
7423,748.77
1979,160.17
536,38.15
7746,731.23
4743,474.98
7070,715.09
6399,721.62
8855,855.63
2668,257.76
585,121.46
448,135.05
4337,457.44
6849,672.22
7421,718.45
5195,427.35
5580,511.61
1312,136.28
3085,299.45
4025,433.67
4876,477.84
6082,571.9
6557,672.77
2708,396.06
640,48.13
3117,318.64
2796,321.95
6262,597.62
5599,623.54
7874,708.45
1989,178.51
3567,341.14
4706,478.16
8753,776.73
1742,241.84
8897,910.41
4737,529.84
5735,654.15
8735,836.47
4407,315.98
860,143.32
9085,894.18
5848,528.14
2126,241.41
7929,916.08
8625,857.05
3438,391.36
7993,749.92
8564,772.06
8142,859.9
7021,729.4
7302,706.91
4525,537.81
3278,239.58
7673,705.8
6207,593.56
6397,621.88
5956,668.87
9284,930.86
4559,446.25
8586,795.1
6201,674.43
9625,905.67
5217,457.97
8729,852.89
2830,291.16
